,date,word,frequency
0,2021-12-02,woche,4
1,2021-12-02,fahrzeuge,3
2,2021-12-02,christoph,3
3,2021-12-02,seien,3
4,2021-12-02,etwa,3
5,2021-12-02,prozent,3
6,2021-12-02,laut,2
7,2021-12-02,sagt,2
8,2021-12-02,mittwoch,2
9,2021-12-02,derzeit,2
10,2021-12-02,steinkamp,2
11,2021-12-02,text,2
12,2021-12-02,steigt,2
13,2021-12-02,strom,2
14,2021-12-02,senat,2
15,2021-12-02,spannung,2
16,2021-12-02,situation,2
17,2021-12-02,impfzentrum,2
18,2021-12-02,elektromobilität,2
19,2021-12-02,geht,2
20,2021-12-03,holsten,5
21,2021-12-03,millionen,5
22,2021-12-03,worden,5
23,2021-12-03,jahren,4
24,2021-12-03,euro,4
25,2021-12-03,consus,3
26,2021-12-03,donnerstag,3
27,2021-12-03,explosion,3
28,2021-12-03,quartier,3
29,2021-12-03,group,3
30,2021-12-03,adler,2
31,2021-12-03,vier,2
32,2021-12-03,bornheim,2
33,2021-12-03,warum,2
34,2021-12-03,warburg,2
35,2021-12-03,mittwoch,2
36,2021-12-03,bank,2
37,2021-12-03,mondpreise,2
38,2021-12-03,ag,2
39,2021-12-03,fünfeinhalb,2
40,2021-12-06,tamme,6
41,2021-12-06,schon,4
42,2021-12-06,euro,4
43,2021-12-06,weihnachtsmänner,4
44,2021-12-06,bescherung,3
45,2021-12-06,samstag,3
46,2021-12-06,thilo,3
47,2021-12-06,lesen,3
48,2021-12-06,weihnachtsmann,3
49,2021-12-06,uhr,2
50,2021-12-06,premiere,2
51,2021-12-06,jahre,2
52,2021-12-06,potter,2
53,2021-12-06,harry,2
54,2021-12-06,studenten,2
55,2021-12-06,vertragsstrafe,2
56,2021-12-06,dafür,2
57,2021-12-06,freitag,2
58,2021-12-06,achten,2
59,2021-12-06,fc,2
60,2021-12-07,bahn,8
61,2021-12-07,brücke,7
62,2021-12-07,sternbrücke,7
63,2021-12-07,initiative,5
64,2021-12-07,neue,4
65,2021-12-07,jatta,4
66,2021-12-07,umweltverträglichkeitsprüfung,4
67,2021-12-07,bakery,3
68,2021-12-07,bühler,3
69,2021-12-07,sollen,3
70,2021-12-07,monsterbrücke,3
71,2021-12-07,daher,2
72,2021-12-07,historische,2
73,2021-12-07,twickel,2
74,2021-12-07,montag,2
75,2021-12-07,angst,2
76,2021-12-07,meter,2
77,2021-12-07,stellte,2
78,2021-12-07,erneut,2
79,2021-12-07,jahre,2
80,2021-12-08,gute,3
81,2021-12-08,leude,3
82,2021-12-08,gespräch,2
83,2021-12-08,uhr,2
84,2021-12-08,beckmann,1
85,2021-12-08,email,1
86,2021-12-08,hamburgzeitde,1
87,2021-12-08,hören,1
88,2021-12-08,familie,1
89,2021-12-08,schreiben,1
90,2021-12-08,abonnieren,1
91,2021-12-08,freunde,1
92,2021-12-08,empfängt,1
93,2021-12-08,sonntags,1
94,2021-12-08,kostenlos,1
95,2021-12-08,mögen,1
96,2021-12-08,zusammenarbeit,1
97,2021-12-08,podcast,1
98,2021-12-08,wissen,1
99,2021-12-08,montags,1
100,2021-12-09,clemann,4
101,2021-12-09,beiersdorf,4
102,2021-12-09,liegt,3
103,2021-12-09,neue,3
104,2021-12-09,gestern,3
105,2021-12-09,haut,3
106,2021-12-09,daten,3
107,2021-12-09,ab,2
108,2021-12-09,schritt,2
109,2021-12-09,sagte,2
110,2021-12-09,wert,2
111,2021-12-09,text,2
112,2021-12-09,gesunken,2
113,2021-12-09,konzern,2
114,2021-12-09,sven,2
115,2021-12-09,nächsten,2
116,2021-12-09,weniger,2
117,2021-12-09,kohleausstieg,2
118,2021-12-09,abwärme,2
119,2021-12-09,etwa,2
120,2021-12-10,millionen,4
121,2021-12-10,davon,4
122,2021-12-10,paulsen,4
123,2021-12-10,gesundheitsbehörde,4
124,2021-12-10,seien,4
125,2021-12-10,lesen,3
126,2021-12-10,angaben,3
127,2021-12-10,sei,3
128,2021-12-10,online,3
129,2021-12-10,behörde,3
130,2021-12-10,stadt,3
131,2021-12-10,sagte,3
132,2021-12-10,euro,3
133,2021-12-10,neue,3
134,2021-12-10,prozent,3
135,2021-12-10,universität,3
136,2021-12-10,peter,2
137,2021-12-10,zeithamburg,2
138,2021-12-10,lieferung,2
139,2021-12-10,kirchhecker,2
140,2021-12-13,kraus,12
141,2021-12-13,dita,4
142,2021-12-13,theresienstadt,4
143,2021-12-13,leben,3
144,2021-12-13,geht,3
145,2021-12-13,auschwitz,3
146,2021-12-13,erzählen,3
147,2021-12-13,leute,3
148,2021-12-13,sonntag,3
149,2021-12-13,ja,3
150,2021-12-13,schon,3
151,2021-12-13,bergenbelsen,2
152,2021-12-13,augen,2
153,2021-12-13,ghetto,2
154,2021-12-13,davon,2
155,2021-12-13,ort,2
156,2021-12-13,unterstützung,2
157,2021-12-13,nacht,2
158,2021-12-13,warum,2
159,2021-12-13,familie,2
160,2021-12-14,heekeren,6
161,2021-12-14,seit,4
162,2021-12-14,uni,4
163,2021-12-14,lenzen,4
164,2021-12-14,zehn,3
165,2021-12-14,sagt,3
166,2021-12-14,liegt,3
167,2021-12-14,hauke,3
168,2021-12-14,universität,3
169,2021-12-14,ab,3
170,2021-12-14,unipräsident,3
171,2021-12-14,euro,3
172,2021-12-14,zwei,3
173,2021-12-14,leicht,3
174,2021-12-14,jahr,3
175,2021-12-14,lag,3
176,2021-12-14,präsident,3
177,2021-12-14,beisiegel,3
178,2021-12-14,amt,3
179,2021-12-14,woche,3
180,2021-12-15,husemann,8
181,2021-12-15,arten,5
182,2021-12-15,tiere,5
183,2021-12-15,woche,3
184,2021-12-15,sagt,3
185,2021-12-15,wochen,3
186,2021-12-15,neue,3
187,2021-12-15,immer,3
188,2021-12-15,insekten,3
189,2021-12-15,neuer,2
190,2021-12-15,neuen,2
191,2021-12-15,invasiv,2
192,2021-12-15,meisten,2
193,2021-12-15,gehen,2
194,2021-12-15,kommen,2
195,2021-12-15,blutspenden,2
196,2021-12-15,sommer,2
197,2021-12-15,wert,2
198,2021-12-15,besonders,2
199,2021-12-15,mehreren,2
200,2021-12-16,woche,3
201,2021-12-16,wert,3
202,2021-12-16,sollten,2
203,2021-12-16,mittwoch,2
204,2021-12-16,intensivstationen,2
205,2021-12-16,liegt,2
206,2021-12-16,darin,2
207,2021-12-16,zwei,2
208,2021-12-16,augen,2
209,2021-12-16,seit,2
210,2021-12-16,erhalten,2
211,2021-12-16,gericht,2
212,2021-12-16,pflegekräfte,2
213,2021-12-16,gut,2
214,2021-12-16,nord,2
215,2021-12-16,bereits,2
216,2021-12-16,kinder,2
217,2021-12-16,dienstag,2
218,2021-12-16,gestern,2
219,2021-12-16,uke,2
220,2021-12-17,jahr,5
221,2021-12-17,frau,4
222,2021-12-17,ausstellung,4
223,2021-12-17,seit,4
224,2021-12-17,zob,3
225,2021-12-17,drogen,3
226,2021-12-17,objekte,3
227,2021-12-17,pandemie,3
228,2021-12-17,markk,3
229,2021-12-17,armutsrisiko,3
230,2021-12-17,inn,3
231,2021-12-17,weniger,3
232,2021-12-17,liegt,3
233,2021-12-17,benin,3
234,2021-12-17,gestern,3
235,2021-12-17,drob,3
236,2021-12-17,tügel,3
237,2021-12-17,gibt,3
238,2021-12-17,methadon,3
239,2021-12-17,wirkt,3
240,2022-01-10,neu,2
241,2022-01-10,nike,2
242,2022-01-10,stadt,2
243,2022-01-10,je,2
244,2022-01-10,deutlich,2
245,2022-01-10,lesen,2
246,2022-01-10,heinen,2
247,2022-01-10,sabrina,2
248,2022-01-10,krankheiten,2
249,2022-01-10,behandelt,2
250,2022-01-10,justizvollzugsanstalten,2
251,2022-01-10,deutschen,2
252,2022-01-10,freitag,2
253,2022-01-10,samstag,2
254,2022-01-10,gesundheitsbehörde,2
255,2022-01-10,tabellen,2
256,2022-01-10,winter,2
257,2022-01-10,system,2
258,2022-01-10,woche,2
259,2022-01-10,seit,2
260,2022-01-11,helsinki,2
261,2022-01-11,hoch,2
262,2022-01-11,berichten,2
263,2022-01-11,natur,2
264,2022-01-11,leben,2
265,2022-01-11,hamburgzeitde,2
266,2022-01-11,espoo,2
267,2022-01-11,schreiben,2
268,2022-01-11,mailtohamburgzeitde,2
269,2022-01-11,betrifft,1
270,2022-01-11,geteilt,1
271,2022-01-11,direkt,1
272,2022-01-11,saßen,1
273,2022-01-11,musikalisches,1
274,2022-01-11,aufregende,1
275,2022-01-11,bekommen,1
276,2022-01-11,nationalpark,1
277,2022-01-11,miniaturausgabe,1
278,2022-01-11,besonders,1
279,2022-01-11,kollegen,1
280,2022-01-12,vattenfall,4
281,2022-01-12,grundversorger,3
282,2022-01-12,ersatzversorgung,3
283,2022-01-12,woche,3
284,2022-01-12,strom,3
285,2022-01-12,kunden,3
286,2022-01-12,weitere,2
287,2022-01-12,märz,2
288,2022-01-12,müssen,2
289,2022-01-12,energie,2
290,2022-01-12,stromio,2
291,2022-01-12,ende,2
292,2022-01-12,coronabedingten,2
293,2022-01-12,eon,2
294,2022-01-12,leider,2
295,2022-01-12,warum,2
296,2022-01-12,beschäftigte,2
297,2022-01-12,außerdem,2
298,2022-01-12,grünwelt,2
299,2022-01-12,betroffene,2
300,2022-01-13,serebrennikow,8
301,2022-01-13,januar,3
302,2022-01-13,theater,3
303,2022-01-13,immer,3
304,2022-01-13,gestern,3
305,2022-01-13,weiß,3
306,2022-01-13,stück,2
307,2022-01-13,mönch,2
308,2022-01-13,durfte,2
309,2022-01-13,sport,2
310,2022-01-13,besser,2
311,2022-01-13,jobcenter,2
312,2022-01-13,all,2
313,2022-01-13,woche,2
314,2022-01-13,schwarze,2
315,2022-01-13,fragen,2
316,2022-01-13,warum,2
317,2022-01-13,kirill,2
318,2022-01-13,zoom,2
319,2022-01-13,zahl,2
320,2022-01-14,sonne,3
321,2022-01-14,vielleicht,2
322,2022-01-14,helsinki,2
323,2022-01-14,natur,2
324,2022-01-14,notrufe,2
325,2022-01-14,espoo,2
326,2022-01-14,geht,2
327,2022-01-14,wochenende,2
328,2022-01-14,sonnenstunden,2
329,2022-01-14,ab,2
330,2022-01-14,rolle,1
331,2022-01-14,fedder,1
332,2022-01-14,freunde,1
333,2022-01-14,inseln,1
334,2022-01-14,supermarkt,1
335,2022-01-14,toller,1
336,2022-01-14,kollegen,1
337,2022-01-14,schon,1
338,2022-01-14,spiegelt,1
339,2022-01-14,norden,1
340,2022-01-17,cannabis,7
341,2022-01-17,kolisch,7
342,2022-01-17,zahl,4
343,2022-01-17,jahr,4
344,2022-01-17,sagt,4
345,2022-01-17,mal,3
346,2022-01-17,mastergrower,3
347,2022-01-17,steht,3
348,2022-01-17,große,3
349,2022-01-17,knopp,3
350,2022-01-17,woche,3
351,2022-01-17,coronamaßnahmen,2
352,2022-01-17,worden,2
353,2022-01-17,anbau,2
354,2022-01-17,pflanzgott,2
355,2022-01-17,kunsthalle,2
356,2022-01-17,mann,2
357,2022-01-17,fälle,2
358,2022-01-17,duijndam,2
359,2022-01-17,gemeldet,2
360,2022-01-18,haftanstalten,7
361,2022-01-18,huchzermeier,7
362,2022-01-18,erkrankungen,4
363,2022-01-18,wichtig,3
364,2022-01-18,patienten,3
365,2022-01-18,jva,3
366,2022-01-18,macht,3
367,2022-01-18,gefangenen,2
368,2022-01-18,eröffnet,2
369,2022-01-18,gebäude,2
370,2022-01-18,aggressiv,2
371,2022-01-18,gibt,2
372,2022-01-18,häftlingen,2
373,2022-01-18,schnell,2
374,2022-01-18,dokumentationszentrum,2
375,2022-01-18,woche,2
376,2022-01-18,lesen,2
377,2022-01-18,wissen,2
378,2022-01-18,christian,2
379,2022-01-18,sollen,2
380,2022-01-19,möwen,6
381,2022-01-19,rund,5
382,2022-01-19,stadt,3
383,2022-01-19,fieseler,3
384,2022-01-19,dach,3
385,2022-01-19,liegen,3
386,2022-01-19,schulen,3
387,2022-01-19,fiege,3
388,2022-01-19,hamburgs,3
389,2022-01-19,seit,3
390,2022-01-19,habeck,3
391,2022-01-19,besuch,2
392,2022-01-19,niederlassungsleiter,2
393,2022-01-19,seien,2
394,2022-01-19,heißt,2
395,2022-01-19,staatlichen,2
396,2022-01-19,natur,2
397,2022-01-19,mal,2
398,2022-01-19,kolonie,2
399,2022-01-19,nike,2
400,2022-01-20,mailtohamburgzeitde,1
401,2022-01-20,weitergeleitet,1
402,2022-01-20,bekommen,1
403,2022-01-20,meinung,1
404,2022-01-20,abonnieren,1
405,2022-01-20,mögen,1
406,2022-01-20,annika,1
407,2022-01-20,theater,1
408,2022-01-20,email,1
409,2022-01-20,sollten,1
410,2022-01-20,wissen,1
411,2022-01-20,entschieden,1
412,2022-01-20,blicken,1
413,2022-01-20,thalia,1
414,2022-01-20,hamburgzeitde,1
415,2022-01-20,familie,1
416,2022-01-20,schreiben,1
417,2022-01-20,tag,1
418,2022-01-20,freunde,1
419,2022-01-20,daher,1
420,2022-01-21,bahn,5
421,2022-01-21,gestern,5
422,2022-01-21,tunnel,5
423,2022-01-21,idee,3
424,2022-01-21,krüger,3
425,2022-01-21,sollen,3
426,2022-01-21,neue,3
427,2022-01-21,jahr,3
428,2022-01-21,hauptbahnhof,3
429,2022-01-21,deutschen,3
430,2022-01-21,gemeldet,2
431,2022-01-21,altona,2
432,2022-01-21,bundestagswahl,2
433,2022-01-21,worden,2
434,2022-01-21,bund,2
435,2022-01-21,nadelöhr,2
436,2022-01-21,bahnhof,2
437,2022-01-21,mann,2
438,2022-01-21,st,2
439,2022-01-21,sagte,2
440,2022-01-24,sex,8
441,2022-01-24,bacio,7
442,2022-01-24,online,5
443,2022-01-24,izh,4
444,2022-01-24,interview,3
445,2022-01-24,geht,3
446,2022-01-24,tut,3
447,2022-01-24,fragen,3
448,2022-01-24,seit,3
449,2022-01-24,sexualpädagogin,3
450,2022-01-24,sagen,3
451,2022-01-24,oft,3
452,2022-01-24,buch,3
453,2022-01-24,gibt,3
454,2022-01-24,immer,3
455,2022-01-24,motto,2
